content,score,Label,text_clean
"sangat membantu utk menentukan jenis investasi yg akan dilakukan. Infonya lengkap, proses jg mudah...suka bgt aplikasi ini",5,Positif,sangat membantu utk menentukan jenis investasi yg akan dilakukan infonya lengkap proses jg mudahsuka bgt aplikasi ini
Kode OTP tidak dikirim sudah coba 2 hari!!!!!!!!!!,1,Negatif,kode otp tidak dikirim sudah coba  hari
ribetlah verifikasi gagal terus gara2 foto selfie tdk sesuai dengan identitas. padahal pakai foto sendiri. ktp foto 10 tahun lalu dan ga beda jauh dengan wajah sekarang. tapi selalu aja gagal. fitur bantuan juga ga membantu. akhirnya uninstall.,1,Negatif,ribetlah verifikasi gagal terus gara foto selfie tdk sesuai dengan identitas padahal pakai foto sendiri ktp foto  tahun lalu dan ga beda jauh dengan wajah sekarang tapi selalu aja gagal fitur bantuan juga ga membantu akhirnya uninstall
"Sulit daftar, katanya foto selfie tidak sama dengan ktp. Hey ktp itu sejak saya lulus sma sekitar 8th lalu, mana mungkin wajahnya disuruh sama persis...",1,Negatif,sulit daftar katanya foto selfie tidak sama dengan ktp hey ktp itu sejak saya lulus sma sekitar th lalu mana mungkin wajahnya disuruh sama persis
"aplikasinya sudah bagus, alangkah lebih bagus lagi jika ada metode nabung rutin, mungkin bisa kerja sama dengan bank ternama untuk rdn atau auto debit. sementara sebelum ada nabung rutin di bareksa pakai aplikasi lain yang ijo juga",4,Positif,aplikasinya sudah bagus alangkah lebih bagus lagi jika ada metode nabung rutin mungkin bisa kerja sama dengan bank ternama untuk rdn atau auto debit sementara sebelum ada nabung rutin di bareksa pakai aplikasi lain yang ijo juga
mudah applikasinya,5,Positif,mudah applikasinya
"Niatnya mau aktifin akun lagi. Pas mau ganti nomor hp, disuruh via email. Ditambah lagi pake acara foto ktp sama selfi, seakan fitur finger print sama kode pin gak ada gunanya. Terlalu berbelit-belit, ditqmbah lagi harus siap terima telepon. Maaf nih, ane jam segitu juga kerja. Manabisa nelpon di jam kerja cuma buat verifikasi data. Daripada repot ya udah uninstall ni apk.",1,Negatif,niatnya mau aktifin akun lagi pas mau ganti nomor hp disuruh via email ditambah lagi pake acara foto ktp sama selfi seakan fitur finger print sama kode pin gak ada gunanya terlalu berbelitbelit ditqmbah lagi harus siap terima telepon maaf nih ane jam segitu juga kerja manabisa nelpon di jam kerja cuma buat verifikasi data daripada repot ya udah uninstall ni apk
Untuk pemula. Bareksa bagus banget. Tampilannya sederhana. Grafiknya juga bagus. Sangat memudahkan.,5,Positif,untuk pemula bareksa bagus banget tampilannya sederhana grafiknya juga bagus sangat memudahkan
"Sumpah kapok banget pake bareksa, tgl 09 Juni saya melakukan 2 penjualan saham, tapi dana yang masuk hanya 1 saja, dan yang 1nya lagi belum masuk tapii lucunya keterangannya BERHASIL: DANA SUDAH MASUK KEREKENING ANDA. Tapi saya belom menerima :), CSny juga slowrespon gada kabar juga tentang dana saya",1,Negatif,sumpah kapok banget pake bareksa tgl  juni saya melakukan  penjualan saham tapi dana yang masuk hanya  saja dan yang nya lagi belum masuk tapii lucunya keterangannya berhasil dana sudah masuk kerekening anda tapi saya belom menerima  csny juga slowrespon gada kabar juga tentang dana saya
"Pelayanan lambat sekali, verifikasi untuk ganti nomer rekening juga sangat lambat. Mau pindah aja deh klo gini",1,Negatif,pelayanan lambat sekali verifikasi untuk ganti nomer rekening juga sangat lambat mau pindah aja deh klo gini
"Aku Uninstall dulu. Dulu perna daftar dan mau di lanjutkan SUSAH. Ganti Bibit, bea admin lebih murah",1,Negatif,aku uninstall dulu dulu perna daftar dan mau di lanjutkan susah ganti bibit bea admin lebih murah
"Withdraw super lama, biaya jual/beli terlalu byk... Fix balik ke sebelah ajalah... Ga ribet dan gampang withdraw... Fix bakal ku uninstal nih aplikasi ...",1,Negatif,withdraw super lama biaya jualbeli terlalu byk fix balik ke sebelah ajalah ga ribet dan gampang withdraw fix bakal ku uninstal nih aplikasi 
Sudah perna daftar BAREKSA dulu tp belum tuntas. Sekarang mau di lanjutkan sudah tdk bisa. Tanya CS malah di suruh kirim WA KTP. Takut di salah gunakan. Mending pakai aplikasi lain. BIBIT kata teman juga Sangat BAGUS,1,Negatif,sudah perna daftar bareksa dulu tp belum tuntas sekarang mau di lanjutkan sudah tdk bisa tanya cs malah di suruh kirim wa ktp takut di salah gunakan mending pakai aplikasi lain bibit kata teman juga sangat bagus
"Informasi cs dan sistem nya tidak jelas, disuruh perbaiki data upload ulang foto selfie. Tpi tidak ada fitur untuk upload foto nya",1,Negatif,informasi cs dan sistem nya tidak jelas disuruh perbaiki data upload ulang foto selfie tpi tidak ada fitur untuk upload foto nya
aplikasi investasi yang sangat membantu,5,Positif,aplikasi investasi yang sangat membantu
"Sangat berguna untuk orang yg ingin menabung dengan aman, nyaman",5,Positif,sangat berguna untuk orang yg ingin menabung dengan aman nyaman
"terima kasih, sudah memberikan yang terbaik",5,Positif,terima kasih sudah memberikan yang terbaik
"Cs super lambat dan parah banget gak dibales2. Kayaknya bareksa mesti ganti vendor buat pembelian melalui VA? Ya atau di fix tolong, pembelian gw gak masuk2 padahal VA harusnya otomatis. Terus kalo mau maintenance tolong kasih notifikasi, tolong diblok dulu untuk transaksi biar kitanya gak nyangkut. Payah 👎",1,Negatif,cs super lambat dan parah banget gak dibales kayaknya bareksa mesti ganti vendor buat pembelian melalui va ya atau di fix tolong pembelian gw gak masuk padahal va harusnya otomatis terus kalo mau maintenance tolong kasih notifikasi tolong diblok dulu untuk transaksi biar kitanya gak nyangkut payah 
"Bareksa live chatnya g solutif, lambat dan menggantung. Uang 5 jt sy sudah masuk apa blm krn aps sy sttusnya menunggu pembayaran dan ketika sy klik malah ke menu pembayaran lg seolah² buat transaksi baru dan sy blm bayar. jawabannya muter² dr jam 5 pagi sampe jam 9. Udah masuk belum uang sy?? Knp sttus saya begitu? Beda bgt sama pelayanan bibit",1,Negatif,bareksa live chatnya g solutif lambat dan menggantung uang  jt sy sudah masuk apa blm krn aps sy sttusnya menunggu pembayaran dan ketika sy klik malah ke menu pembayaran lg seolah buat transaksi baru dan sy blm bayar jawabannya muter dr jam  pagi sampe jam  udah masuk belum uang sy knp sttus saya begitu beda bgt sama pelayanan bibit
"aplikasi mudah untuk investasi, semoga aman dan tidak kena virus",4,Positif,aplikasi mudah untuk investasi semoga aman dan tidak kena virus
