content,score,Label
"sangat membantu utk menentukan jenis investasi yg akan dilakukan. Infonya lengkap, proses jg mudah...suka bgt aplikasi ini",5,Positif
Kode OTP tidak dikirim sudah coba 2 hari!!!!!!!!!!,1,Negatif
ribetlah verifikasi gagal terus gara2 foto selfie tdk sesuai dengan identitas. padahal pakai foto sendiri. ktp foto 10 tahun lalu dan ga beda jauh dengan wajah sekarang. tapi selalu aja gagal. fitur bantuan juga ga membantu. akhirnya uninstall.,1,Negatif
"Sulit daftar, katanya foto selfie tidak sama dengan ktp. Hey ktp itu sejak saya lulus sma sekitar 8th lalu, mana mungkin wajahnya disuruh sama persis...",1,Negatif
"aplikasinya sudah bagus, alangkah lebih bagus lagi jika ada metode nabung rutin, mungkin bisa kerja sama dengan bank ternama untuk rdn atau auto debit. sementara sebelum ada nabung rutin di bareksa pakai aplikasi lain yang ijo juga",4,Positif
mudah applikasinya,5,Positif
"Niatnya mau aktifin akun lagi. Pas mau ganti nomor hp, disuruh via email. Ditambah lagi pake acara foto ktp sama selfi, seakan fitur finger print sama kode pin gak ada gunanya. Terlalu berbelit-belit, ditqmbah lagi harus siap terima telepon. Maaf nih, ane jam segitu juga kerja. Manabisa nelpon di jam kerja cuma buat verifikasi data. Daripada repot ya udah uninstall ni apk.",1,Negatif
Untuk pemula. Bareksa bagus banget. Tampilannya sederhana. Grafiknya juga bagus. Sangat memudahkan.,5,Positif
"Sumpah kapok banget pake bareksa, tgl 09 Juni saya melakukan 2 penjualan saham, tapi dana yang masuk hanya 1 saja, dan yang 1nya lagi belum masuk tapii lucunya keterangannya BERHASIL: DANA SUDAH MASUK KEREKENING ANDA. Tapi saya belom menerima :), CSny juga slowrespon gada kabar juga tentang dana saya",1,Negatif
"Pelayanan lambat sekali, verifikasi untuk ganti nomer rekening juga sangat lambat. Mau pindah aja deh klo gini",1,Negatif
"Aku Uninstall dulu. Dulu perna daftar dan mau di lanjutkan SUSAH. Ganti Bibit, bea admin lebih murah",1,Negatif
"aplikasinya berat kali ya, lama pas login",3,
Tertera disitu lama proses pengerjaan 2-3 hari kerja. Beli hari rabu selesai hari selasa. Gak sesuai sama yg tertera di app nya. Ya ampun lama banget kena fee lagi,3,
"Withdraw super lama, biaya jual/beli terlalu byk... Fix balik ke sebelah ajalah... Ga ribet dan gampang withdraw... Fix bakal ku uninstal nih aplikasi ...",1,Negatif
Sudah perna daftar BAREKSA dulu tp belum tuntas. Sekarang mau di lanjutkan sudah tdk bisa. Tanya CS malah di suruh kirim WA KTP. Takut di salah gunakan. Mending pakai aplikasi lain. BIBIT kata teman juga Sangat BAGUS,1,Negatif
"Informasi cs dan sistem nya tidak jelas, disuruh perbaiki data upload ulang foto selfie. Tpi tidak ada fitur untuk upload foto nya",1,Negatif
aplikasi investasi yang sangat membantu,5,Positif
"Sangat berguna untuk orang yg ingin menabung dengan aman, nyaman",5,Positif
"terima kasih, sudah memberikan yang terbaik",5,Positif
"Cs super lambat dan parah banget gak dibales2. Kayaknya bareksa mesti ganti vendor buat pembelian melalui VA? Ya atau di fix tolong, pembelian gw gak masuk2 padahal VA harusnya otomatis. Terus kalo mau maintenance tolong kasih notifikasi, tolong diblok dulu untuk transaksi biar kitanya gak nyangkut. Payah 👎",1,Negatif
"Bareksa live chatnya g solutif, lambat dan menggantung. Uang 5 jt sy sudah masuk apa blm krn aps sy sttusnya menunggu pembayaran dan ketika sy klik malah ke menu pembayaran lg seolah² buat transaksi baru dan sy blm bayar. jawabannya muter² dr jam 5 pagi sampe jam 9. Udah masuk belum uang sy?? Knp sttus saya begitu? Beda bgt sama pelayanan bibit",1,Negatif
"aplikasi mudah untuk investasi, semoga aman dan tidak kena virus",4,Positif
"Skrg semuanya pake admin, juga SPT tahunan, belum lg skrg muncul virus""apa tau jadi ribet buat investasi",1,Negatif
"Saya mau penarikan dana tp gagal terus,sudah coba tambah no rekening lain (beda bank), tetap tidak bisa,sudah update apk juga tidak bisa, koneksi internet juga lancar,apa ada solusi",3,
cukup mudah transaksi di bareksa,5,Positif
"Menurut scanning antivirus Avast aplikasi Bareksa terindikasi sebuah virus yg jahat, jadi saya langsung menghapusnya. Tolong pihak Bareksa berikan penjelasannya.",1,Negatif
terdeteksi mengandung virus trojan,1,Negatif
"Bagaimana penanganannya app bareksa bevirus, terdeteksi langsung dari hp saya. Tolong di tangani. Sudah di tangani Terimakasih",4,Positif
"pakai bareksa dari 2019, alhamdulillah bagus terus",5,Positif
Fitur2nya mudah dipahami dan juga mudah digunakan.,5,Positif
"Aplikasinya bagus, mudah digunakan, dan aman untuk berinvestasi",5,Positif
"Biaya admin mahal... untuk top up rd pakai ovo (yg udah kerjasama aja) 1.000.. untuk jual rd dipotong 3.500 sebanyak 2 kali, pertama pas pilih rekening (beda bank) kedua pas uangnya udah masuk nominalnya dikurangi 3.500 lagi.. trus juga untuk cashback voucher rd lama bgt masuknya, baru masuk setelah 2 bulan sejak tgl pembelian. Kurang bersaing sama apk sebelah :)",3,
Kerren dan praktis,5,Positif
cara ngundang orang lain gimana ? atau untuk menyebar kode refferal kita ke orang lain ?,4,Positif
"Verifikasi susah banget, udh seminggu lebih blm di acc juga, payah",1,Negatif
"Bagus dan belum pernah error, Aplikasi luar biasa sukses Bareksa thank you.",5,Positif
Selamat datang semuga kita semua dalam lindungan Allah SWT amin barokallah,5,Positif
