userName,score,at,content
Ikawati Rosma,5,2023-06-19 04:29:28,"sangat membantu utk menentukan jenis investasi yg akan dilakukan. Infonya lengkap, proses jg mudah...suka bgt aplikasi ini"
Bayu Mustaqim,1,2023-06-19 02:40:34,Kode OTP tidak dikirim sudah coba 2 hari!!!!!!!!!!
Rijal Akbar,1,2023-06-18 12:52:23,ribetlah verifikasi gagal terus gara2 foto selfie tdk sesuai dengan identitas. padahal pakai foto sendiri. ktp foto 10 tahun lalu dan ga beda jauh dengan wajah sekarang. tapi selalu aja gagal. fitur bantuan juga ga membantu. akhirnya uninstall.
Eko Prasetyo Bakti Sugiantoko,1,2023-06-17 09:38:15,"Sulit daftar, katanya foto selfie tidak sama dengan ktp. Hey ktp itu sejak saya lulus sma sekitar 8th lalu, mana mungkin wajahnya disuruh sama persis..."
massop,4,2023-06-15 10:34:44,"aplikasinya sudah bagus, alangkah lebih bagus lagi jika ada metode nabung rutin, mungkin bisa kerja sama dengan bank ternama untuk rdn atau auto debit. sementara sebelum ada nabung rutin di bareksa pakai aplikasi lain yang ijo juga"
Sumarjo Pujo,5,2023-06-14 16:23:34,mudah applikasinya
Fajar Nugroho,1,2023-06-14 10:17:44,"Niatnya mau aktifin akun lagi. Pas mau ganti nomor hp, disuruh via email. Ditambah lagi pake acara foto ktp sama selfi, seakan fitur finger print sama kode pin gak ada gunanya. Terlalu berbelit-belit, ditqmbah lagi harus siap terima telepon. Maaf nih, ane jam segitu juga kerja. Manabisa nelpon di jam kerja cuma buat verifikasi data. Daripada repot ya udah uninstall ni apk."
Benny AS,5,2023-06-12 09:24:09,Untuk pemula. Bareksa bagus banget. Tampilannya sederhana. Grafiknya juga bagus. Sangat memudahkan.
yoan ferbye,1,2023-06-12 04:46:57,"Sumpah kapok banget pake bareksa, tgl 09 Juni saya melakukan 2 penjualan saham, tapi dana yang masuk hanya 1 saja, dan yang 1nya lagi belum masuk tapii lucunya keterangannya BERHASIL: DANA SUDAH MASUK KEREKENING ANDA. Tapi saya belom menerima :), CSny juga slowrespon gada kabar juga tentang dana saya"
M. Aliyu Zikrullah,1,2023-06-11 12:49:02,"Pelayanan lambat sekali, verifikasi untuk ganti nomer rekening juga sangat lambat. Mau pindah aja deh klo gini"
Rina Nitryana,1,2023-06-08 03:09:18,"Aku Uninstall dulu. Dulu perna daftar dan mau di lanjutkan SUSAH. Ganti Bibit, bea admin lebih murah"
Armand Arsana21,3,2023-06-07 09:47:54,"aplikasinya berat kali ya, lama pas login"
Sherly Huang,3,2023-06-06 21:37:25,Tertera disitu lama proses pengerjaan 2-3 hari kerja. Beli hari rabu selesai hari selasa. Gak sesuai sama yg tertera di app nya. Ya ampun lama banget kena fee lagi
Ferry Prasetya Adhitama,1,2023-06-06 03:33:56,"Withdraw super lama, biaya jual/beli terlalu byk... Fix balik ke sebelah ajalah... Ga ribet dan gampang withdraw... Fix bakal ku uninstal nih aplikasi ..."
Mochammad Choiri,1,2023-06-05 13:17:04,Sudah perna daftar BAREKSA dulu tp belum tuntas. Sekarang mau di lanjutkan sudah tdk bisa. Tanya CS malah di suruh kirim WA KTP. Takut di salah gunakan. Mending pakai aplikasi lain. BIBIT kata teman juga Sangat BAGUS
Bilal al ambia,1,2023-06-05 10:27:53,"Informasi cs dan sistem nya tidak jelas, disuruh perbaiki data upload ulang foto selfie. Tpi tidak ada fitur untuk upload foto nya"
Yani Rachmat Hidayat,5,2023-06-05 04:46:24,aplikasi investasi yang sangat membantu
Abdul Qodir,5,2023-06-02 23:21:34,"Sangat berguna untuk orang yg ingin menabung dengan aman, nyaman"
Wan Thinthut,5,2023-06-01 06:30:04,"terima kasih, sudah memberikan yang terbaik"
Misdiandini Fadilla,1,2023-06-01 04:31:06,"Cs super lambat dan parah banget gak dibales2. Kayaknya bareksa mesti ganti vendor buat pembelian melalui VA? Ya atau di fix tolong, pembelian gw gak masuk2 padahal VA harusnya otomatis. Terus kalo mau maintenance tolong kasih notifikasi, tolong diblok dulu untuk transaksi biar kitanya gak nyangkut. Payah 👎"
