content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"sangat membantu utk menentukan jenis investasi yg akan dilakukan. Infonya lengkap, proses jg mudah...suka bgt aplikasi ini",5,Positif,sangat membantu utk menentukan jenis investasi yg akan dilakukan infonya lengkap proses jg mudahsuka bgt aplikasi ini,membantu utk menentukan jenis investasi yg infonya lengkap proses jg mudahsuka bgt aplikasi,"['membantu', 'utk', 'menentukan', 'jenis', 'investasi', 'yg', 'infonya', 'lengkap', 'proses', 'jg', 'mudahsuka', 'bgt', 'aplikasi']",bantu utk tentu jenis investasi yg info lengkap proses jg mudahsuka bgt aplikasi
Kode OTP tidak dikirim sudah coba 2 hari!!!!!!!!!!,1,Negatif,kode otp tidak dikirim sudah coba  hari,kode otp dikirim coba,"['kode', 'otp', 'dikirim', 'coba']",kode otp kirim coba
ribetlah verifikasi gagal terus gara2 foto selfie tdk sesuai dengan identitas. padahal pakai foto sendiri. ktp foto 10 tahun lalu dan ga beda jauh dengan wajah sekarang. tapi selalu aja gagal. fitur bantuan juga ga membantu. akhirnya uninstall.,1,Negatif,ribetlah verifikasi gagal terus gara foto selfie tdk sesuai dengan identitas padahal pakai foto sendiri ktp foto  tahun lalu dan ga beda jauh dengan wajah sekarang tapi selalu aja gagal fitur bantuan juga ga membantu akhirnya uninstall,ribetlah verifikasi gagal gara foto selfie tdk sesuai identitas pakai foto ktp foto ga beda wajah aja gagal fitur bantuan ga membantu uninstall,"['ribetlah', 'verifikasi', 'gagal', 'gara', 'foto', 'selfie', 'tdk', 'sesuai', 'identitas', 'pakai', 'foto', 'ktp', 'foto', 'ga', 'beda', 'wajah', 'aja', 'gagal', 'fitur', 'bantuan', 'ga', 'membantu', 'uninstall']",ribetlah verifikasi gagal gara foto selfie tdk sesuai identitas pakai foto ktp foto ga beda wajah aja gagal fitur bantu ga bantu uninstall
"Sulit daftar, katanya foto selfie tidak sama dengan ktp. Hey ktp itu sejak saya lulus sma sekitar 8th lalu, mana mungkin wajahnya disuruh sama persis...",1,Negatif,sulit daftar katanya foto selfie tidak sama dengan ktp hey ktp itu sejak saya lulus sma sekitar th lalu mana mungkin wajahnya disuruh sama persis,sulit daftar foto selfie ktp hey ktp lulus sma th wajahnya disuruh persis,"['sulit', 'daftar', 'foto', 'selfie', 'ktp', 'hey', 'ktp', 'lulus', 'sma', 'th', 'wajahnya', 'disuruh', 'persis']",sulit daftar foto selfie ktp hey ktp lulus sma th wajah suruh persis
"aplikasinya sudah bagus, alangkah lebih bagus lagi jika ada metode nabung rutin, mungkin bisa kerja sama dengan bank ternama untuk rdn atau auto debit. sementara sebelum ada nabung rutin di bareksa pakai aplikasi lain yang ijo juga",4,Positif,aplikasinya sudah bagus alangkah lebih bagus lagi jika ada metode nabung rutin mungkin bisa kerja sama dengan bank ternama untuk rdn atau auto debit sementara sebelum ada nabung rutin di bareksa pakai aplikasi lain yang ijo juga,aplikasinya bagus alangkah bagus metode nabung rutin kerja bank ternama rdn auto debit nabung rutin bareksa pakai aplikasi ijo,"['aplikasinya', 'bagus', 'alangkah', 'bagus', 'metode', 'nabung', 'rutin', 'kerja', 'bank', 'ternama', 'rdn', 'auto', 'debit', 'nabung', 'rutin', 'bareksa', 'pakai', 'aplikasi', 'ijo']",aplikasi bagus alangkah bagus metode nabung rutin kerja bank nama rdn auto debit nabung rutin bareksa pakai aplikasi ijo
mudah applikasinya,5,Positif,mudah applikasinya,mudah applikasinya,"['mudah', 'applikasinya']",mudah applikasinya
"Niatnya mau aktifin akun lagi. Pas mau ganti nomor hp, disuruh via email. Ditambah lagi pake acara foto ktp sama selfi, seakan fitur finger print sama kode pin gak ada gunanya. Terlalu berbelit-belit, ditqmbah lagi harus siap terima telepon. Maaf nih, ane jam segitu juga kerja. Manabisa nelpon di jam kerja cuma buat verifikasi data. Daripada repot ya udah uninstall ni apk.",1,Negatif,niatnya mau aktifin akun lagi pas mau ganti nomor hp disuruh via email ditambah lagi pake acara foto ktp sama selfi seakan fitur finger print sama kode pin gak ada gunanya terlalu berbelitbelit ditqmbah lagi harus siap terima telepon maaf nih ane jam segitu juga kerja manabisa nelpon di jam kerja cuma buat verifikasi data daripada repot ya udah uninstall ni apk,niatnya aktifin akun pas ganti nomor hp disuruh via email ditambah pake acara foto ktp selfi seakan fitur finger print kode pin gak gunanya berbelitbelit ditqmbah terima telepon maaf nih ane jam segitu kerja manabisa nelpon jam kerja verifikasi data repot ya udah uninstall ni apk,"['niatnya', 'aktifin', 'akun', 'pas', 'ganti', 'nomor', 'hp', 'disuruh', 'via', 'email', 'ditambah', 'pake', 'acara', 'foto', 'ktp', 'selfi', 'seakan', 'fitur', 'finger', 'print', 'kode', 'pin', 'gak', 'gunanya', 'berbelitbelit', 'ditqmbah', 'terima', 'telepon', 'maaf', 'nih', 'ane', 'jam', 'segitu', 'kerja', 'manabisa', 'nelpon', 'jam', 'kerja', 'verifikasi', 'data', 'repot', 'ya', 'udah', 'uninstall', 'ni', 'apk']",niat aktifin akun pas ganti nomor hp suruh via email tambah pake acara foto ktp selfi akan fitur finger print kode pin gak guna berbelitbelit ditqmbah terima telepon maaf nih ane jam segitu kerja manabisa nelpon jam kerja verifikasi data repot ya udah uninstall ni apk
Untuk pemula. Bareksa bagus banget. Tampilannya sederhana. Grafiknya juga bagus. Sangat memudahkan.,5,Positif,untuk pemula bareksa bagus banget tampilannya sederhana grafiknya juga bagus sangat memudahkan,pemula bareksa bagus banget tampilannya sederhana grafiknya bagus memudahkan,"['pemula', 'bareksa', 'bagus', 'banget', 'tampilannya', 'sederhana', 'grafiknya', 'bagus', 'memudahkan']",mula bareksa bagus banget tampil sederhana grafik bagus mudah
"Sumpah kapok banget pake bareksa, tgl 09 Juni saya melakukan 2 penjualan saham, tapi dana yang masuk hanya 1 saja, dan yang 1nya lagi belum masuk tapii lucunya keterangannya BERHASIL: DANA SUDAH MASUK KEREKENING ANDA. Tapi saya belom menerima :), CSny juga slowrespon gada kabar juga tentang dana saya",1,Negatif,sumpah kapok banget pake bareksa tgl  juni saya melakukan  penjualan saham tapi dana yang masuk hanya  saja dan yang nya lagi belum masuk tapii lucunya keterangannya berhasil dana sudah masuk kerekening anda tapi saya belom menerima  csny juga slowrespon gada kabar juga tentang dana saya,sumpah kapok banget pake bareksa tgl juni penjualan saham dana masuk nya masuk tapii lucunya keterangannya berhasil dana masuk kerekening belom menerima csny slowrespon gada kabar dana,"['sumpah', 'kapok', 'banget', 'pake', 'bareksa', 'tgl', 'juni', 'penjualan', 'saham', 'dana', 'masuk', 'nya', 'masuk', 'tapii', 'lucunya', 'keterangannya', 'berhasil', 'dana', 'masuk', 'kerekening', 'belom', 'menerima', 'csny', 'slowrespon', 'gada', 'kabar', 'dana']",sumpah kapok banget pake bareksa tgl juni jual saham dana masuk nya masuk tapi lucu terang hasil dana masuk rekening bom terima csny slowrespon gada kabar dana
"Pelayanan lambat sekali, verifikasi untuk ganti nomer rekening juga sangat lambat. Mau pindah aja deh klo gini",1,Negatif,pelayanan lambat sekali verifikasi untuk ganti nomer rekening juga sangat lambat mau pindah aja deh klo gini,pelayanan lambat verifikasi ganti nomer rekening lambat pindah aja deh klo gini,"['pelayanan', 'lambat', 'verifikasi', 'ganti', 'nomer', 'rekening', 'lambat', 'pindah', 'aja', 'deh', 'klo', 'gini']",layan lambat verifikasi ganti nomer rekening lambat pindah aja deh klo gin
