content,score,Label,text_clean
ga bisa di buka aplikasinya keterangannya aplikasi ga bisa di buka di perangkat emulator padahal bukannya make hp bukan pake emulator,1,Negatif,ga bisa di buka aplikasinya keterangannya aplikasi ga bisa di buka di perangkat emulator padahal bukannya make hp bukan pake emulator
Aplikasi ini bagus untuk pemula tolong perbaiki untuk widthdraw nya kelamaan dan eror,4,Positif,aplikasi ini bagus untuk pemula tolong perbaiki untuk widthdraw nya kelamaan dan eror
"Kuy add kode referal aku (Feyads) biar dapat tambahan duit, kan lumayan kamu gabung udah dapat lagi tambahannya. Kapan lagi bisa begini bisa di pake untuk beli dibibit. Kuy kuy kuy Cobain.",5,Positif,kuy add kode referal aku feyads biar dapat tambahan duit kan lumayan kamu gabung udah dapat lagi tambahannya kapan lagi bisa begini bisa di pake untuk beli dibibit kuy kuy kuy cobain
Sudah registrasi mau daftar akun bank jago gak bisa bisa kesel aku sumpah. Udah tak coba berkali kali ga bisa sumpah sih dari awal aku udah expect banget kalo bibit bakalan bagus kenapa ga bisa terussssss,1,Negatif,sudah registrasi mau daftar akun bank jago gak bisa bisa kesel aku sumpah udah tak coba berkali kali ga bisa sumpah sih dari awal aku udah expect banget kalo bibit bakalan bagus kenapa ga bisa terussssss
"Bibit sangat mudah dalam penggunaannya, pilihan reksadana sudah di sortir oleh Bibit sehingga kita memikih produk dengan mudah. Masukkan kode refelar ""rezekibersama"" pasti dapat cashback min rp. 25.000 😉😆😃😄",5,Positif,bibit sangat mudah dalam penggunaannya pilihan reksadana sudah di sortir oleh bibit sehingga kita memikih produk dengan mudah masukkan kode refelar rezekibersama pasti dapat cashback min rp  
"Tolong untuk pendaftaran jangan dipersulit. Padahal foto ktp dan selfinya sudah jelas, tapi masih gagal. Tapi harus foto lagi dengan sim atau pasport, saya ga punya keduanya.",1,Negatif,tolong untuk pendaftaran jangan dipersulit padahal foto ktp dan selfinya sudah jelas tapi masih gagal tapi harus foto lagi dengan sim atau pasport saya ga punya keduanya
Searchnya tolong di update donk. Ketik majoris yg muncul hanya produk lamanya j.,5,Positif,searchnya tolong di update donk ketik majoris yg muncul hanya produk lamanya j
"Aplikasinya tidak bisa di buka di Xiaomi MI 10Tpro katanya udah di root padahal belum pernah root atau utakatik hp dari baru, update nya juga gak bisa buka..gimana nih bibit..? rugi investasi gak bisa mantau..",2,Negatif,aplikasinya tidak bisa di buka di xiaomi mi tpro katanya udah di root padahal belum pernah root atau utakatik hp dari baru update nya juga gak bisa bukagimana nih bibit rugi investasi gak bisa mantau
Portofolio yang hilang muncul kembali cuman msh g tau penyebabnya,4,Positif,portofolio yang hilang muncul kembali cuman msh g tau penyebabnya
"Solusi yg sangat baik buat yg baru belajar investasi,apa lagi yg masih muda,ini aplikasi gampang banget buat dipahami,keren pokoknya",5,Positif,solusi yg sangat baik buat yg baru belajar investasiapa lagi yg masih mudaini aplikasi gampang banget buat dipahamikeren pokoknya
aplikasi reksadana yg terpercaya semoga kedepannya makin jaya dan sukses selalu 🥰,5,Positif,aplikasi reksadana yg terpercaya semoga kedepannya makin jaya dan sukses selalu 
Kenapa app bibit saja hank setelah coba verifikasi akun bank jago? Statusnya di proses terus selama seharian sampai sekarang,5,Positif,kenapa app bibit saja hank setelah coba verifikasi akun bank jago statusnya di proses terus selama seharian sampai sekarang
Mohon info. Knpa bibit jadi lama dibuka semenjak di update ya? Hanya stack dgn logo bibit tidak masuk²,2,Negatif,mohon info knpa bibit jadi lama dibuka semenjak di update ya hanya stack dgn logo bibit tidak masuk
bagus untuk pemula.. belajar investasi,4,Positif,bagus untuk pemula belajar investasi
nabung buat yg bodo masalah keuangan terbantu banget,5,Positif,nabung buat yg bodo masalah keuangan terbantu banget
"Aplikasinya gabisa dibuka, cuma layar putih doang",2,Negatif,aplikasinya gabisa dibuka cuma layar putih doang
aplikasi keren ini.. bisa bantu kita invest yg bener,5,Positif,aplikasi keren ini bisa bantu kita invest yg bener
mantap kalo ada masalah prifikasinya cepat. trimakasi bibit,2,Negatif,mantap kalo ada masalah prifikasinya cepat trimakasi bibit
"utk pemula mudah bibit mudah utk di fahami,dan byk pilihan investasi.",5,Positif,utk pemula mudah bibit mudah utk di fahamidan byk pilihan investasi
infest yg sangat bermanfaat untuk masadepan,5,Positif,infest yg sangat bermanfaat untuk masadepan
"Respon admin masih kurangnya terlalu besar setiap ada pernyataan GK bisa di selesaikan,dan jawaban terlalu kasar susah kalau pemula , beda dengan cs sebelah lebih responsif untuk pemula",1,Negatif,respon admin masih kurangnya terlalu besar setiap ada pernyataan gk bisa di selesaikandan jawaban terlalu kasar susah kalau pemula  beda dengan cs sebelah lebih responsif untuk pemula
