content,score,Label
ga bisa di buka aplikasinya keterangannya aplikasi ga bisa di buka di perangkat emulator padahal bukannya make hp bukan pake emulator,1,Negatif
Aplikasi ini bagus untuk pemula tolong perbaiki untuk widthdraw nya kelamaan dan eror,4,Positif
"Kuy add kode referal aku (Feyads) biar dapat tambahan duit, kan lumayan kamu gabung udah dapat lagi tambahannya. Kapan lagi bisa begini bisa di pake untuk beli dibibit. Kuy kuy kuy Cobain.",5,Positif
Sudah registrasi mau daftar akun bank jago gak bisa bisa kesel aku sumpah. Udah tak coba berkali kali ga bisa sumpah sih dari awal aku udah expect banget kalo bibit bakalan bagus kenapa ga bisa terussssss,1,Negatif
"Bibit sangat mudah dalam penggunaannya, pilihan reksadana sudah di sortir oleh Bibit sehingga kita memikih produk dengan mudah. Masukkan kode refelar ""rezekibersama"" pasti dapat cashback min rp. 25.000 😉😆😃😄",5,Positif
"Tolong untuk pendaftaran jangan dipersulit. Padahal foto ktp dan selfinya sudah jelas, tapi masih gagal. Tapi harus foto lagi dengan sim atau pasport, saya ga punya keduanya.",1,Negatif
Searchnya tolong di update donk. Ketik majoris yg muncul hanya produk lamanya j.,5,Positif
"Aplikasinya tidak bisa di buka di Xiaomi MI 10Tpro katanya udah di root padahal belum pernah root atau utakatik hp dari baru, update nya juga gak bisa buka..gimana nih bibit..? rugi investasi gak bisa mantau..",2,Negatif
Portofolio yang hilang muncul kembali cuman msh g tau penyebabnya,4,Positif
"Bagus sih untuk nabung, tapi kalo untuk trading scalping sangat tidak di perkenankan, karena proses nya lama berhari hari.",3,
"Solusi yg sangat baik buat yg baru belajar investasi,apa lagi yg masih muda,ini aplikasi gampang banget buat dipahami,keren pokoknya",5,Positif
aplikasi reksadana yg terpercaya semoga kedepannya makin jaya dan sukses selalu 🥰,5,Positif
Kenapa app bibit saja hank setelah coba verifikasi akun bank jago? Statusnya di proses terus selama seharian sampai sekarang,5,Positif
Mohon info. Knpa bibit jadi lama dibuka semenjak di update ya? Hanya stack dgn logo bibit tidak masuk²,2,Negatif
bagus untuk pemula.. belajar investasi,4,Positif
nabung buat yg bodo masalah keuangan terbantu banget,5,Positif
"Aplikasinya gabisa dibuka, cuma layar putih doang",2,Negatif
aplikasi keren ini.. bisa bantu kita invest yg bener,5,Positif
mantap kalo ada masalah prifikasinya cepat. trimakasi bibit,2,Negatif
"utk pemula mudah bibit mudah utk di fahami,dan byk pilihan investasi.",5,Positif
infest yg sangat bermanfaat untuk masadepan,5,Positif
"Respon admin masih kurangnya terlalu besar setiap ada pernyataan GK bisa di selesaikan,dan jawaban terlalu kasar susah kalau pemula , beda dengan cs sebelah lebih responsif untuk pemula",1,Negatif
"Kalau mau upgrade Memang wajib banget registrasi bank jago gitu? Jangan maksain investor dong. Hak kita pakai rekening bank yg kita percaya. Ini suatu kemunduran loh, menghambat kemudahan investasi.",1,Negatif
sangat mantap dan sangat membantu bagi pemula smoga aplikasi bibit ini semakin sukses kedepannya,5,Positif
"CS nya lemot skrng bibit, ga kaya dulu pas butuh bantuan gercep, skrng mh buat bales 1 chat aja butuh 10-15 menit .. Haduuh",1,Negatif
