content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
ga bisa di buka aplikasinya keterangannya aplikasi ga bisa di buka di perangkat emulator padahal bukannya make hp bukan pake emulator,1,Negatif,ga bisa di buka aplikasinya keterangannya aplikasi ga bisa di buka di perangkat emulator padahal bukannya make hp bukan pake emulator,ga buka aplikasinya keterangannya aplikasi ga buka perangkat emulator make hp pake emulator,"['ga', 'buka', 'aplikasinya', 'keterangannya', 'aplikasi', 'ga', 'buka', 'perangkat', 'emulator', 'make', 'hp', 'pake', 'emulator']",ga buka aplikasi terang aplikasi ga buka perangkat emulator make hp pake emulator
Aplikasi ini bagus untuk pemula tolong perbaiki untuk widthdraw nya kelamaan dan eror,4,Positif,aplikasi ini bagus untuk pemula tolong perbaiki untuk widthdraw nya kelamaan dan eror,aplikasi bagus pemula tolong perbaiki widthdraw nya eror,"['aplikasi', 'bagus', 'pemula', 'tolong', 'perbaiki', 'widthdraw', 'nya', 'eror']",aplikasi bagus mula tolong baik widthdraw nya eror
mudah pendaftaran dan berinvestasi di raksadana,5,Positif,mudah pendaftaran dan berinvestasi di raksadana,mudah pendaftaran berinvestasi raksadana,"['mudah', 'pendaftaran', 'berinvestasi', 'raksadana']",mudah daftar investasi raksadana
Sudah registrasi mau daftar akun bank jago gak bisa bisa kesel aku sumpah. Udah tak coba berkali kali ga bisa sumpah sih dari awal aku udah expect banget kalo bibit bakalan bagus kenapa ga bisa terussssss,1,Negatif,sudah registrasi mau daftar akun bank jago gak bisa bisa kesel aku sumpah udah tak coba berkali kali ga bisa sumpah sih dari awal aku udah expect banget kalo bibit bakalan bagus kenapa ga bisa terussssss,registrasi daftar akun bank jago gak kesel sumpah udah coba berkali kali ga sumpah sih udah expect banget kalo bibit bagus ga terussssss,"['registrasi', 'daftar', 'akun', 'bank', 'jago', 'gak', 'kesel', 'sumpah', 'udah', 'coba', 'berkali', 'kali', 'ga', 'sumpah', 'sih', 'udah', 'expect', 'banget', 'kalo', 'bibit', 'bagus', 'ga', 'terussssss']",registrasi daftar akun bank jago gak kesel sumpah udah coba kali kali ga sumpah sih udah expect banget kalo bibit bagus ga terussssss
"Kuy add kode referal aku (Feyads) biar dapat tambahan duit, kan lumayan kamu gabung udah dapat lagi tambahannya. Kapan lagi bisa begini bisa di pake untuk beli dibibit. Kuy kuy kuy Cobain.",5,Positif,kuy add kode referal aku feyads biar dapat tambahan duit kan lumayan kamu gabung udah dapat lagi tambahannya kapan lagi bisa begini bisa di pake untuk beli dibibit kuy kuy kuy cobain,kuy add kode referal feyads biar tambahan duit lumayan gabung udah tambahannya pake beli dibibit kuy kuy kuy cobain,"['kuy', 'add', 'kode', 'referal', 'feyads', 'biar', 'tambahan', 'duit', 'lumayan', 'gabung', 'udah', 'tambahannya', 'pake', 'beli', 'dibibit', 'kuy', 'kuy', 'kuy', 'cobain']",kuy add kode referal feyads biar tambah duit lumayan gabung udah tambah pake beli bibit kuy kuy kuy cobain
"Tolong untuk pendaftaran jangan dipersulit. Padahal foto ktp dan selfinya sudah jelas, tapi masih gagal. Tapi harus foto lagi dengan sim atau pasport, saya ga punya keduanya.",1,Negatif,tolong untuk pendaftaran jangan dipersulit padahal foto ktp dan selfinya sudah jelas tapi masih gagal tapi harus foto lagi dengan sim atau pasport saya ga punya keduanya,tolong pendaftaran dipersulit foto ktp selfinya gagal foto sim pasport ga,"['tolong', 'pendaftaran', 'dipersulit', 'foto', 'ktp', 'selfinya', 'gagal', 'foto', 'sim', 'pasport', 'ga']",tolong daftar sulit foto ktp selfinya gagal foto sim pasport ga
"Bibit sangat mudah dalam penggunaannya, pilihan reksadana sudah di sortir oleh Bibit sehingga kita memikih produk dengan mudah. Masukkan kode refelar ""rezekibersama"" pasti dapat cashback min rp. 25.000 😉😆😃😄",5,Positif,bibit sangat mudah dalam penggunaannya pilihan reksadana sudah di sortir oleh bibit sehingga kita memikih produk dengan mudah masukkan kode refelar rezekibersama pasti dapat cashback min rp  ,bibit mudah penggunaannya pilihan reksadana sortir bibit memikih produk mudah masukkan kode refelar rezekibersama cashback min rp,"['bibit', 'mudah', 'penggunaannya', 'pilihan', 'reksadana', 'sortir', 'bibit', 'memikih', 'produk', 'mudah', 'masukkan', 'kode', 'refelar', 'rezekibersama', 'cashback', 'min', 'rp']",bibit mudah guna pilih reksadana sortir bibit memikih produk mudah masuk kode refelar rezekibersama cashback min rp
sangat bagus untuk pemula seperti saya..,5,Positif,sangat bagus untuk pemula seperti saya,bagus pemula,"['bagus', 'pemula']",bagus mula
Portofolio yang hilang muncul kembali cuman msh g tau penyebabnya,4,Positif,portofolio yang hilang muncul kembali cuman msh g tau penyebabnya,portofolio hilang muncul cuman msh g tau penyebabnya,"['portofolio', 'hilang', 'muncul', 'cuman', 'msh', 'g', 'tau', 'penyebabnya']",portofolio hilang muncul cuman msh g tau sebab
Searchnya tolong di update donk. Ketik majoris yg muncul hanya produk lamanya j.,5,Positif,searchnya tolong di update donk ketik majoris yg muncul hanya produk lamanya j,searchnya tolong update donk ketik majoris yg muncul produk j,"['searchnya', 'tolong', 'update', 'donk', 'ketik', 'majoris', 'yg', 'muncul', 'produk', 'j']",searchnya tolong update donk ketik majoris yg muncul produk j
"Aplikasinya tidak bisa di buka di Xiaomi MI 10Tpro katanya udah di root padahal belum pernah root atau utakatik hp dari baru, update nya juga gak bisa buka..gimana nih bibit..? rugi investasi gak bisa mantau..",2,Negatif,aplikasinya tidak bisa di buka di xiaomi mi tpro katanya udah di root padahal belum pernah root atau utakatik hp dari baru update nya juga gak bisa bukagimana nih bibit rugi investasi gak bisa mantau,aplikasinya buka xiaomi mi tpro udah root root utakatik hp update nya gak bukagimana nih bibit rugi investasi gak mantau,"['aplikasinya', 'buka', 'xiaomi', 'mi', 'tpro', 'udah', 'root', 'root', 'utakatik', 'hp', 'update', 'nya', 'gak', 'bukagimana', 'nih', 'bibit', 'rugi', 'investasi', 'gak', 'mantau']",aplikasi buka xiaomi mi tpro udah root root utakatik hp update nya gak bukagimana nih bibit rugi investasi gak mantau
"Solusi yg sangat baik buat yg baru belajar investasi,apa lagi yg masih muda,ini aplikasi gampang banget buat dipahami,keren pokoknya",5,Positif,solusi yg sangat baik buat yg baru belajar investasiapa lagi yg masih mudaini aplikasi gampang banget buat dipahamikeren pokoknya,solusi yg yg belajar investasiapa yg mudaini aplikasi gampang banget dipahamikeren pokoknya,"['solusi', 'yg', 'yg', 'belajar', 'investasiapa', 'yg', 'mudaini', 'aplikasi', 'gampang', 'banget', 'dipahamikeren', 'pokoknya']",solusi yg yg ajar investasiapa yg mudaini aplikasi gampang banget dipahamikeren pokok
aplikasi reksadana yg terpercaya semoga kedepannya makin jaya dan sukses selalu 🥰,5,Positif,aplikasi reksadana yg terpercaya semoga kedepannya makin jaya dan sukses selalu ,aplikasi reksadana yg terpercaya semoga kedepannya jaya sukses,"['aplikasi', 'reksadana', 'yg', 'terpercaya', 'semoga', 'kedepannya', 'jaya', 'sukses']",aplikasi reksadana yg percaya moga depan jaya sukses
"Registrasi sangat lama, menunggu waktu sampai 1 bulan",1,Negatif,registrasi sangat lama menunggu waktu sampai  bulan,registrasi menunggu,"['registrasi', 'menunggu']",registrasi tunggu
"Percayalah,ini aplikasi yang sangat memuaskan",5,Positif,percayalahini aplikasi yang sangat memuaskan,percayalahini aplikasi memuaskan,"['percayalahini', 'aplikasi', 'memuaskan']",percayalahini aplikasi muas
"Aplikasinya gabisa dibuka, cuma layar putih doang",2,Negatif,aplikasinya gabisa dibuka cuma layar putih doang,aplikasinya gabisa dibuka layar putih doang,"['aplikasinya', 'gabisa', 'dibuka', 'layar', 'putih', 'doang']",aplikasi gabisa buka layar putih doang
aplikasi keren ini.. bisa bantu kita invest yg bener,5,Positif,aplikasi keren ini bisa bantu kita invest yg bener,aplikasi keren bantu invest yg bener,"['aplikasi', 'keren', 'bantu', 'invest', 'yg', 'bener']",aplikasi keren bantu invest yg bener
Kenapa app bibit saja hank setelah coba verifikasi akun bank jago? Statusnya di proses terus selama seharian sampai sekarang,5,Positif,kenapa app bibit saja hank setelah coba verifikasi akun bank jago statusnya di proses terus selama seharian sampai sekarang,app bibit hank coba verifikasi akun bank jago statusnya proses seharian,"['app', 'bibit', 'hank', 'coba', 'verifikasi', 'akun', 'bank', 'jago', 'statusnya', 'proses', 'seharian']",app bibit hank coba verifikasi akun bank jago status proses hari
Mohon info. Knpa bibit jadi lama dibuka semenjak di update ya? Hanya stack dgn logo bibit tidak masuk²,2,Negatif,mohon info knpa bibit jadi lama dibuka semenjak di update ya hanya stack dgn logo bibit tidak masuk,mohon info knpa bibit dibuka semenjak update ya stack dgn logo bibit masuk,"['mohon', 'info', 'knpa', 'bibit', 'dibuka', 'semenjak', 'update', 'ya', 'stack', 'dgn', 'logo', 'bibit', 'masuk']",mohon info knpa bibit buka semenjak update ya stack dgn logo bibit masuk
bagus untuk pemula.. belajar investasi,4,Positif,bagus untuk pemula belajar investasi,bagus pemula belajar investasi,"['bagus', 'pemula', 'belajar', 'investasi']",bagus mula ajar investasi
nabung buat yg bodo masalah keuangan terbantu banget,5,Positif,nabung buat yg bodo masalah keuangan terbantu banget,nabung yg bodo keuangan terbantu banget,"['nabung', 'yg', 'bodo', 'keuangan', 'terbantu', 'banget']",nabung yg bodo uang bantu banget
sangat mudah dan bisa dibpercaya,5,Positif,sangat mudah dan bisa dibpercaya,mudah dibpercaya,"['mudah', 'dibpercaya']",mudah dibpercaya
bibit cocok untuk para pemula,5,Positif,bibit cocok untuk para pemula,bibit cocok pemula,"['bibit', 'cocok', 'pemula']",bibit cocok mula
cocok untuk investasi pemula..,4,Positif,cocok untuk investasi pemula,cocok investasi pemula,"['cocok', 'investasi', 'pemula']",cocok investasi mula
"utk pemula mudah bibit mudah utk di fahami,dan byk pilihan investasi.",5,Positif,utk pemula mudah bibit mudah utk di fahamidan byk pilihan investasi,utk pemula mudah bibit mudah utk fahamidan byk pilihan investasi,"['utk', 'pemula', 'mudah', 'bibit', 'mudah', 'utk', 'fahamidan', 'byk', 'pilihan', 'investasi']",utk mula mudah bibit mudah utk fahamidan byk pilih investasi
"Apk gj ga cocok buat naruh uang lama banget cair, plin plan",1,Negatif,apk gj ga cocok buat naruh uang lama banget cair plin plan,apk gj ga cocok naruh uang banget cair plin plan,"['apk', 'gj', 'ga', 'cocok', 'naruh', 'uang', 'banget', 'cair', 'plin', 'plan']",apk gj ga cocok naruh uang banget cair plin plan
infest yg sangat bermanfaat untuk masadepan,5,Positif,infest yg sangat bermanfaat untuk masadepan,infest yg bermanfaat masadepan,"['infest', 'yg', 'bermanfaat', 'masadepan']",infest yg manfaat masadepan
"Respon admin masih kurangnya terlalu besar setiap ada pernyataan GK bisa di selesaikan,dan jawaban terlalu kasar susah kalau pemula , beda dengan cs sebelah lebih responsif untuk pemula",1,Negatif,respon admin masih kurangnya terlalu besar setiap ada pernyataan gk bisa di selesaikandan jawaban terlalu kasar susah kalau pemula  beda dengan cs sebelah lebih responsif untuk pemula,respon admin kurangnya pernyataan gk selesaikandan kasar susah pemula beda cs sebelah responsif pemula,"['respon', 'admin', 'kurangnya', 'pernyataan', 'gk', 'selesaikandan', 'kasar', 'susah', 'pemula', 'beda', 'cs', 'sebelah', 'responsif', 'pemula']",respon admin kurang nyata gk selesaikandan kasar susah mula beda cs belah responsif mula
mantap kalo ada masalah prifikasinya cepat. trimakasi bibit,2,Negatif,mantap kalo ada masalah prifikasinya cepat trimakasi bibit,mantap kalo prifikasinya cepat trimakasi bibit,"['mantap', 'kalo', 'prifikasinya', 'cepat', 'trimakasi', 'bibit']",mantap kalo prifikasinya cepat trimakasi bibit
sangat mantap dan sangat membantu bagi pemula smoga aplikasi bibit ini semakin sukses kedepannya,5,Positif,sangat mantap dan sangat membantu bagi pemula smoga aplikasi bibit ini semakin sukses kedepannya,mantap membantu pemula smoga aplikasi bibit sukses kedepannya,"['mantap', 'membantu', 'pemula', 'smoga', 'aplikasi', 'bibit', 'sukses', 'kedepannya']",mantap bantu mula smoga aplikasi bibit sukses depan
