userName,score,at,content
Daxx 7,1,2023-06-19 8:06:07,ga bisa di buka aplikasinya keterangannya aplikasi ga bisa di buka di perangkat emulator padahal bukannya make hp bukan pake emulator
Muhammad Daffaimaduddin,4,2023-06-19 7:17:42,Aplikasi ini bagus untuk pemula tolong perbaiki untuk widthdraw nya kelamaan dan eror
Dinda Aini,1,2023-06-18 12:58:01,Sudah registrasi mau daftar akun bank jago gak bisa bisa kesel aku sumpah. Udah tak coba berkali kali ga bisa sumpah sih dari awal aku udah expect banget kalo bibit bakalan bagus kenapa ga bisa terussssss
Feny Adisti,5,2023-06-18 5:59:22,"Kuy add kode referal aku (Feyads) biar dapat tambahan duit, kan lumayan kamu gabung udah dapat lagi tambahannya. Kapan lagi bisa begini bisa di pake untuk beli dibibit. Kuy kuy kuy Cobain."
Rudi Yan,1,2023-06-17 22:25:53,"Tolong untuk pendaftaran jangan dipersulit. Padahal foto ktp dan selfinya sudah jelas, tapi masih gagal. Tapi harus foto lagi dengan sim atau pasport, saya ga punya keduanya."
Riyadi Nababan,5,2023-06-17 5:17:11,"Bibit sangat mudah dalam penggunaannya, pilihan reksadana sudah di sortir oleh Bibit sehingga kita memikih produk dengan mudah. Masukkan kode refelar ""rezekibersama"" pasti dapat cashback min rp. 25.000 😉😆😃😄"
Wahidiyat indra Lesmana,4,2023-06-16 11:58:26,Portofolio yang hilang muncul kembali cuman msh g tau penyebabnya
Info Solution,5,2023-06-16 8:34:20,Searchnya tolong di update donk. Ketik majoris yg muncul hanya produk lamanya j.
Rus Sj,2,2023-06-16 5:07:09,"Aplikasinya tidak bisa di buka di Xiaomi MI 10Tpro katanya udah di root padahal belum pernah root atau utakatik hp dari baru, update nya juga gak bisa buka..gimana nih bibit..? rugi investasi gak bisa mantau.."
Wahyu Agung,5,2023-06-15 15:42:15,"Solusi yg sangat baik buat yg baru belajar investasi,apa lagi yg masih muda,ini aplikasi gampang banget buat dipahami,keren pokoknya"
sulasmi,5,2023-06-15 11:49:37,aplikasi reksadana yg terpercaya semoga kedepannya makin jaya dan sukses selalu 🥰
muhamad nawawi,3,2023-06-15 4:30:25,"Bagus sih untuk nabung, tapi kalo untuk trading scalping sangat tidak di perkenankan, karena proses nya lama berhari hari."
muhammad kamandafif,2,2023-06-14 11:21:41,"Aplikasinya gabisa dibuka, cuma layar putih doang"
Mochamad Gian,5,2023-06-14 11:02:05,aplikasi keren ini.. bisa bantu kita invest yg bener
suci arini,5,2023-06-14 8:29:03,Kenapa app bibit saja hank setelah coba verifikasi akun bank jago? Statusnya di proses terus selama seharian sampai sekarang
Daus 31,2,2023-06-14 6:34:49,Mohon info. Knpa bibit jadi lama dibuka semenjak di update ya? Hanya stack dgn logo bibit tidak masuk²
Margaretha Ega,4,2023-06-14 3:41:40,bagus untuk pemula.. belajar investasi
anda lili,5,2023-06-14 3:16:20,nabung buat yg bodo masalah keuangan terbantu banget
Pawi Abdullah,5,2023-06-13 12:30:18,"utk pemula mudah bibit mudah utk di fahami,dan byk pilihan investasi."
Ismail Dae Niga,5,2023-06-13 10:24:33,infest yg sangat bermanfaat untuk masadepan
Riki Miswar,1,2023-06-13 10:14:40,"Respon admin masih kurangnya terlalu besar setiap ada pernyataan GK bisa di selesaikan,dan jawaban terlalu kasar susah kalau pemula , beda dengan cs sebelah lebih responsif untuk pemula"
Lalu Mahsun,2,2023-06-13 8:47:32,mantap kalo ada masalah prifikasinya cepat. trimakasi bibit
Neo Zamud,5,2023-06-12 15:54:01,sangat mantap dan sangat membantu bagi pemula smoga aplikasi bibit ini semakin sukses kedepannya
Muhammad Andika,1,2023-06-12 15:02:18,"CS nya lemot skrng bibit, ga kaya dulu pas butuh bantuan gercep, skrng mh buat bales 1 chat aja butuh 10-15 menit .. Haduuh"
Hendra Hasugian,5,2023-06-12 11:51:50,"Aplikasi investasi di bibit sangat paling manfaat untuk bagi pemula, dan saya suka di aplikasi bibit, bila kita kurang tau bangaimana caranya, langsung di respon, dgn cepat dan baik. Dan sangat menguntungkan ,bagi semua orang terimakasih."
Hari Suhardo,1,2023-06-12 1:13:17,"Kalau mau upgrade Memang wajib banget registrasi bank jago gitu? Jangan maksain investor dong. Hak kita pakai rekening bank yg kita percaya. Ini suatu kemunduran loh, menghambat kemudahan investasi."
alhamdulillah_,1,2023-06-12 0:33:32,habis di update malah lelet bangeeettt.... Tolong dong respon admin... saya sudah email juga
Hari Mukti,5,2023-06-11 12:02:54,"beli Reksadana & obligasi jadi mudah banget, edukasi nya juga bikin pintar nasabah"
Abid Leksono,5,2023-06-11 11:43:58,aplikasi bgus buat menabung dan memahami berinvestasi
Warga Wakanda,1,2023-06-11 3:43:58,"Pencairan dana 7 hari kerja, seharusnya bibit membuat pencairan dana yang jauh lebih cepat maksimal 30 hari kerja atau 365 hari kerja,sangat cepat,top up sat set penarikan dana ngarett kecewa lah pokoknya"
Erik Kusnadi,5,2023-06-10 17:37:58,bagus utk investasi jangka panjang dan pendek
Saputro Tri Setio Adi,5,2023-06-10 14:18:21,"Aplikasi bibit sangat berkualitas dan canggih, cocok buat investasi pemula."
Tiar Febrianto,4,2023-06-10 7:54:34,"apk nya mantp buat nabung jangka panjang , paling TOP √"
Ansori Iman nugroho,1,2023-06-10 6:12:56,"Apk tidak bisa membuka semua data,loading terus tidak bisa terbaca"
Ahmad Muammar Habibi,5,2023-06-09 14:52:41,"Kita bisa karena terbiasa, ayo semua berinvestasi di bibit dengan kode referral ""pintarbanget"" kamu bisa dapat Cashback.. hingga 100rb lohh..... cepet jangan tunggu lagi mulai aja dulu yuk !!"
Larso San,5,2023-06-09 11:21:31,Joss tenan..! Jadi bisa belajar dan nabung investasi maju terus bersama Bibit
Benny AS,1,2023-06-09 4:38:40,Upgrade ke bibitplus. Kukira ada peningkatan luar biasa. Ternyata nambah rekening bank jago dan rdn bank jago..😑 daripada berusaha keras mengarahkan orang ke bank jago. Lebih baik tunjukkan kelebihan istimewanya daripada bank lain di aplikasi bibit.
tomi Apr,5,2023-06-09 4:29:38,cukup baguss meskipun UI nya kurang greget
Ari Muryanto,5,2023-06-09 0:05:35,"Hati hati buat yg mau invest disini, ketika udah bnyk masuk tiba² app nya lemot dan gapernah bisa liat hasil invest kita"
Willy himmatus Sulthan,3,2023-06-08 23:09:40,mungkin untuk kualitas servernya yang masih terbilang buruk jadi saya kasih Bintang 3 dulu terimakasih
Nurmalinda Alva,4,2023-06-08 12:43:56,"Sayangnya detail transaksi waktu pembelian tidak ada, hanya ada tanggal ketika transaksi berhasil dilakukan"
Rumah Pertanian Kreatif,5,2023-06-08 10:34:44,tempat belajar investasi pemula yg paling rekomen
Bima Arianov,5,2023-06-08 10:22:55,mudah diaplikasikan cocok untuk investasi pemula
Aruman 31,5,2023-06-07 17:26:29,"aplikasi nya sangat membantu untuk kita yang baru saja berinvestasi, Tolong tambahkan fitur pembayaran aplikasi melalui DANA🙏"
AL,1,2023-06-07 16:06:14,Mau upgrade bibit plus gak bisa. Karena terlanjur pakai jago syariah. Aplikasi yang tidak praktis. Jadi gak bisa beli SBN. 👎👎👎👎👎
Jamil Rijal,5,2023-06-07 15:51:05,semoga sukses app nya sangat mudah dipahami
dhobet santoso,5,2023-06-07 15:26:05,waulau baru sebulan saya merasakan keseruan nabung reksa dana di bibit . asyik banget deh
Afnila Angraini,5,2023-06-07 8:55:02,"mau dapetin cashback senilai 25 rbu rupiah??? pakai code ini aja (afnila1)😉 Ayo daftar dan gunakan code cantik ini yah 😚 Aplikasi yang bagus banged dan sangat sangat recommended buat pemula ber investasi,resiko nya juga sangat minim sekali kita juga bisa berinvestasi mulai dari 10 rbu rupiah, Aku udh ngerasain nya sendiri,aku udah ikut sekitar beberapa bulan udh dapat uang jutaan rupiah dg ikut Reksadana😋"
IMRON,5,2023-06-07 7:27:16,Sangat mudah sekali penggunaan di dalam aplikasi BIBIT
Ian Nisvi Apriady,1,2023-06-07 2:36:41,"Sekarang makin lemot buat buka aplikasi nya di realme 5 pro, jadi males buat buka n invest , ga asiik pdhl sinyal powerfull"
Harits Irsyad (Official),3,2023-06-06 23:22:03,"kalo bagi gw sii, udh bagus ya tampilan aplikasi nya, cuma saran gw nih yaa, jgn investasi saham disini, klo mau main saham ya lgsg aja tanam modal di perusahaan yg Lo mau invest, gak perlu lgi pake Reksadana... tpi klo utk yg lain kyk pasar uang, ato obligasi masih oke lahh..."
Sherly Huang,5,2023-06-06 21:41:33,"App nya udh bagus cuma hanya 2 aja yg kurang yaitu font tulisan terlalu kecil dan gak ada mode dark, gak enak banget liat hp lama2 terlalu terang padahal udh di turunin brightness paling gelap masih terang"
IDA BAGUS GEDE RAKA,5,2023-06-06 16:30:48,satu aplikasi investasi untuk pemula dan bisa membantu untuk membuat orang rajin menabung
Sandy Fatria,5,2023-06-06 13:10:43,Tempat nabung tanpa kena potongan bunga 😁
Ana Sj.,5,2023-06-06 12:26:12,keren sih buat invest anak muda
Wildan Tri Ardiansyah,1,2023-06-06 5:48:54,Kenapa switching nya lama sekali? Balikin lah modal saya!
Bagus Danan Jaya 5,1,2023-06-06 4:51:03,"Pas mau beli saham cepat lancar jaya, pas mau penarikan ""dana akan masuk ke rekening mu maksimum 3 hari kerja"" Wow gw narik dri tgl 31 kemaren smpe skrg blm masuk ke rekening, maksudnya ""maksimum 3 hari kerja"" Tu apa? (Btw gw belinya di pasar uang)"
Dangi Timur,5,2023-06-05 22:36:27,sudah bagus bisa ditingkatkan lagi
Novie Widie,4,2023-06-05 18:32:42,App yang sangat menarik. Sejauh ini sistemnya cukup membantu. Tingkatkan kualitasnya.
Dream ForYou,5,2023-06-05 6:37:04,"Alhamdulillah, bagus. Dlu waktu pertama kli download gk bisa dibuka, loading mulu. Skrng sudah bisa, sudah bagus."
dreans 19,1,2023-06-05 1:31:41,"Gajelas,kebanyakan libur nya,gw mau investasi di hari pertama,tpi hari ke dua dan ketiga malah libur,pas dah hari masuk,harus nunggu lagi,mending di platfrom lain dah"
Nurdin,5,2023-06-05 1:09:09,Bagus buat investasi tp sayang Sy ga bs cara jual & belinya
Ahmad Rifai,5,2023-06-04 18:23:23,"Untuk Developer PT. Bibit Tumbuh Bersama - Reksadana Online. Bibit - Investasi Reksadana Sangat Bermanfaat, Terus Tingkatkan Fitur Dan Kualitas Di Dalam Aplikasi."
imam nur cahyadi,2,2023-06-04 3:59:43,"Aplikasinya gk bisa di buka, udah tak restrat tetep aja gk mau masuk aplikasi bibit. yang ada malahan layar warna putih polos. Saya pakai telkomsel jaringannya full 4G+ tapi tetep aja gk mau ke aplikasinya. Mohon bantuanya"
Sari Niluh,5,2023-06-03 3:16:39,"sangat membntu bagi pemula yg ingin investasi, terima kasih bibit"
Deasy Lianabillia,5,2023-06-03 0:58:09,"semoga bisa buat tab tua nnt,n plus latihan jua"
Dicksan Eldisa,1,2023-06-02 14:38:05,"login juga susah, parah sih"
tri astuti,3,2023-06-02 7:08:54,"untuk melakukan penjualan masih lama uang masuk ke bank pemilik ,, jadi menurut aku kurang aja ,, kayak aplikasi lain aja bisa dalam 5mnit langsung cair ke bank Semoga kedepan bisa lebih cepat lagi"
welly wiyanto,5,2023-06-01 23:55:29,"Aplikasinya mudah di gunakan ,jadi sangat membantu saya dalam belajar berinvestasi. Pokoknya Mantap dah...👍"
dzaky maulidan,5,2023-06-01 22:20:50,Investasi paling aman dan terpercaya & Murah modal 10rb juga bisa inves Untuk pemula jangan ragu untuk di sini dan jangan lupa masukan kode referal: 24zaky Langsg dapat 25rb loh
slamet Arjuna,5,2023-06-01 17:46:54,"Aplikasi untuk investasi Reksadana,sekarang sudah ada investasi saham. Semakin berkembang aplikasi BIBIT"
Arif Rakhman,1,2023-06-01 15:13:00,"Kecewa duit masuk ke bibit nunggu lama sekali masuk sudah kesedot dan hilang berapa persen, lagi kalau mau withdraw nunggu sampai seminggu yg ada duit kesedot trus kena curi!!!! Kecewa dgn aplikasi ini!!! Pertama2 saja ok, kesini nya sudah gak bener!!! Maklum zaman sekarang semua di halal kan walaupun duit hasil yg haram di makan juga, karena sekarang cari kerja susah semua di halal kan!!!!Bagusan aplikasi yg sebelah, masuk cepat cair nya pun cepat!!!"
Novriansyah Aldzikrie,1,2023-05-31 16:39:17,Ya tuhan bibit.. stress banget sama ni aplikasi.. tiap hari maintenance terus.. sehari maintenance bisa 10 jam lebih.. kadang jam 9 pagi pun masih maintenance.. PARAH
Ade Sugiono,5,2023-05-31 14:43:39,mudah mudahan kedepannya semakin tambah maju
Santi Setya Jayaningsih,3,2023-05-31 11:49:06,Proses loading Beranda lama bangeeett!!! Ada maintenance kah? Nggak biasanya begini.
Ronald Tato,4,2023-05-31 8:14:19,sangat nyata hasilnya semoga ke depan bibit semakin bagus
tripsets,4,2023-05-31 5:07:34,Sangat disayangkan tampilan belum mendukung mode gelap / dark mode.
Tedi Kusuma,5,2023-05-31 3:17:33,sangat bagus untuk nabung
Dana Dyaksa,5,2023-05-30 18:03:41,"terimakasih bibit, aplikasi ini sangat membantu buat orang yang mau belajar investasi terutama buat yang masih sangat awam, selain baca baca artikel dan belajar dari pakar investasi aplikasi bibit ini memudahkan kita karena telah membimbing dengan sangat mudah dipahami, terimakasih yaa bibit."
AKA PRODUCTION,4,2023-05-30 12:35:01,Ini kenapa ya setelah di update mau buka jadi lemot banget..
Clif M Tololiu,5,2023-05-30 10:43:56,aplikasi yang sangat bagus dan membantu...
zulkarnaen dicky,3,2023-05-30 6:05:32,Baik penempatan maupun pencarian lama prosesnya 😂
Septian Bayu Kustanto (Septian),2,2023-05-30 5:32:14,"Untuk tampilan emang bagus dan simple tapi sayang, pas coba wd malah dana yang masuk tidak sesuai dengan di aplikasi, soalnya untuk fee tf udah di tanggung oleh bibit sendiri kan? Saran aja sih kalau ada potongannya langsung di tampil kan saja dana yang masuknya sesudah di potong. Dan masih ada potongan lainnya yaitu biaya materai"
Transaksi,5,2023-05-29 12:43:03,lumayan dapat cuan dari aplikasi ini
Sudi Adnyana,1,2023-05-29 11:09:46,"dana nya gak masuk rekening, udah lewat beberapa hari maksimal katanya 3 hari kerja tapi nyatanya kosong!!! tolong ditindak lanjuti terkait masalah tersebut dan saya minta tolong dana saya cepat di transfer sesuai nominal investasi sekian terimakasih..."
Roman Sitepu,2,2023-05-29 9:04:07,Masak live chatnya selalu gagal mengirim pesan. Gimana solusinya ?
Davian S,1,2023-05-29 2:19:02,"Aplikasi lu lelet banget, lu terusin kaya gini, gw tarik semua uang gw"
Febriansyah,4,2023-05-28 6:44:05,Apps sangat bagus dan muda di mengerti
Risna Sari Simbolon,1,2023-05-28 6:34:42,"Pencarian uangnya lama banget, ga bisa kalo urgent"
Jaya Lesmana,5,2023-05-28 3:11:01,"bagus untuk pemula, dan 100% aman terjamin, saya juga pernah narik dan uangnya masuk ke rekening nggak nipu cuman dipotong biaya transfer antar bank 2500"
