reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
2bd36332-1390-458a-9554-055c18845b7a,Usaha Mandiri,https://play-lh.googleusercontent.com/a-/ALV-UjWfEbbpXdWCVqwtaCBc0m0sKwaaeQcQ7-9TLaCZJMP9tA,"Isi Reff ""Javaindo"" dapatkan Gebyar bonus cashback utamanya. Ini sangat rekomendasikan untuk kalian yang ingin memulai investasi dengan lebih mudah dan nyaman. Fitur-fiturnya mudah untuk dipahami dan aplikasinya sangat ringan dan tidak bikin hp menjadi lemot. Hanya Bibit yang sangat rekomendasi untuk para pemula. Langsung download dan buktikanlan. Bibit selalu bikin hidup menjadi lebih cuan.",5,3,3.64.3,2023-09-07 08:52:29,,,3.64.3
8a686ef8-18fc-4227-9207-0dc214620553,Galuh Pamulangsih,https://play-lh.googleusercontent.com/a-/ALV-UjXTowDnjLlxaOhhuzz-wjAJM35iXO6emhe7MBaJ8B7kYz4,"Saya udah install dan pengen daftar, tapi katanya belum pake versi update terbaru, padahal ini udah ku check berkali-kali. Dan gak ada yg salah. Udah pake versi update-an kok. Tolong bantuannya, kenapa aku gak bisa daftar?",1,5,3.64.3,2023-09-06 08:33:55,"Hai kak, jika memiliki pertanyaan atau mengalami kendala terkait Bibit silakan langsung hubungi layanan live chat atau WA +622150864230, tim support kami pasti segera membantu masalah kakak. Terima kasih",2023-09-06 09:13:38,3.64.3
ef40a66d-9a77-4aac-be7f-beddcab225f7,Kusumo Budiarso,https://play-lh.googleusercontent.com/a-/ALV-UjVgQQcSQxWyAScpui6aHkbRHWVLS03ly-OcE0lnuvzh3aM,Sistem harus di perbarui setiap hari semisal NAV itu harus tiap hari jadinya nggak ada tunggak an data. Semisal NAV terakhir tgl 17092022 tetapi sekarang sudah 22092022 itu kan ada keterlambatan update data di sistem. Sekian terima kasih dari saran saya supaya terlihat ada perubahan dan kemajuan. Salam sukses,2,38,3.63.2,2023-08-21 01:09:57,"Hai kak Kusumo, NAB/NAV dan return (untung/rugi) akan diupdate 1x pada hari kerja sekitar jam 22.00 WIB atau maksimal keesokan hari jam 09.00 WIB. Info lebih lanjut hubungi layanan live chat Bibit atau WA +622150864230, tim support kami pasti akan langsung membantu kakak. Terima kasih",2023-08-21 07:21:43,3.63.2
26efb229-bf48-49b3-88a3-2f9e79a5d28b,Anindita Pramesti,https://play-lh.googleusercontent.com/a/ACg8ocL7BS0zjakMTY8S8GCONNKOE5fFr_fAHnFgm1pDP3Zk=mo,"Setlh di update malah gak bisa kebuka lagi aplikasinya, dri tanggal 26 aplikasi gak bisa kebuka, smpe sempat uninstal download lagi ttap aja gak bisa kebuka. Gimna nii kalo mau lihat bagi hasilnya ?? Mana tabungan dah lumayan.",4,67,3.62.1,2023-07-31 14:22:54,,,3.62.1
90b3c8ea-bfb0-411e-a451-40f95479e618,RistiiaSky,https://play-lh.googleusercontent.com/a-/ALV-UjXMy0TENkS5-oOufPh8m-wRNnKoWhTcUu_KfsQNg89rLek,Parah nih bibit. Fast respon banget udh bantuin saya ganti nomer Gara2 nomer yg lama udh keblokir mau ganti pake nomer kedua tapi ga sengaja udh kedaftar juga di bibit. Mau buat di nomer kedua tapi KTP sama data terdaftar di akun bibit pertama. Terimakasih banyakkkk,5,14,3.63.1,2023-08-04 18:23:42,,,3.63.1
d1ef4379-d697-4048-9f74-0c240a7bc13a,Sinta Anggela,https://play-lh.googleusercontent.com/a-/ALV-UjX0t8eYvFWWh10_bYrKaaibUmH6QsBQAY_BhFwHUsKDG1M,"Aneh bgt gua nabung di Reksadana pilih pasar uang, pas gua cek malah turun. Secara sistem aja kan pasar uang gak ada minus cuma naiknya kecil. aneh bgt tabungan gua berkurang padahal gua pilih pasar uang",2,47,3.62.1,2023-07-29 06:00:49,"Hai kak, NAB dapat berubah mengikuti keadaan ekonomi & kinerja Manajer Investasi. Tetap fokus investasi rutin utk memperoleh harga rata-rata terbaik, agar saat harga turun akan terhindar dari kerugian yg terlalu besar. Info lebih lanjut hubungi layanan live chat Bibit atau WA +622150864230, tim support akan langsung membantu kakak. Terima kasih",2023-07-31 04:06:22,3.62.1
2ba73da1-b3df-48ab-9e3d-1bc537e3da21,Rosfita Hariani,https://play-lh.googleusercontent.com/a/ACg8ocLKnAdFjSiNMrZPKgiccXIFnSFSqnPia5v79HYZFxYd=mo,Aplikasi paling cocok untuk investasi. Sangat puas slma pake aplikasi ini khusus saya yg pemula. Berharap bisa dengan investasi emas. Agar tidak pindah2 aplikasi tuk investasi emas. Sangat2 berhrap. Mksih Bibit.,5,24,3.62.1,2023-07-31 05:12:13,,,3.62.1
25a3a123-bb51-4354-91a3-24597831bf06,Merlina Septiasih,https://play-lh.googleusercontent.com/a/ACg8ocJkwFh438Bndm1rSEQPuEcEHpwgo-GKliG2-YN5spNE=mo,Gimana ya !! Pencariannya bisa sampe lama banget kaya gini . Kalo pas ada darurat ya gak bisa diambil sama sekali karna nunggunya bener2 lama !!,2,14,3.63.2,2023-08-28 14:29:52,"Hai kak, dana penjualan dikirim Bank Kustodian ke rekening terdaftar di Bibit sesuai ketentuan OJK maks 3 hari kerja utk RD Pasar Uang dan maks 7 hari kerja utk RD Saham & Obligasi. Pastikan rekening aktif dan cek mutasi rekening di waktu tsb. Info lebih lanjut hubungi live chat Bibit/WA +622150864230, tim support kami pasti akan membantu. Trims",2023-08-29 01:25:07,3.63.2
fe02e170-d981-47d8-b0f2-5c5e8e055ffd,Rizky Setyawan,https://play-lh.googleusercontent.com/a/ACg8ocLoDIvr86ec8YOBy6T2mt62mVdOlHA29OdDkc2x913a=mo,"Apk sudah bagus, bibit udah nyambung sama stocbit juga bagus.,mungkin yang kurang pd apk bibit yaitu pada bibit sahamnya kurang ramah di mata..mungkin bisa dibuat simpel seperti apk ajaib untuk tampilan bibit sahamnya...bagian key statistic untuk dirangkum juga dr tahun² lalu serta bisa diurutkan perbandingan tiap sektornya seperti pbv,per,roe dll.,Untuk tambahan mungkin di update selanjutnya ada invest emas yang bisa dicetak,.buat diversifikasi, saya yakin akan lebih banyak pengguna baru bibit",3,7,3.63.1,2023-08-08 10:12:36,,,3.63.1
c180f44f-08a4-474c-899c-7ee6a8801028,Mann Syah,https://play-lh.googleusercontent.com/a-/ALV-UjXCaM5MPJJ_Dn2g5kPwCJEL-tn192aRBy1nzcoyT47oFg,Tolong perlihatkan riwayat dari kupon SBN yang masuk. Hari ini saya dapat kupon SBN cairnya ke RDN wallet bukan ke rekening bank yang seperti biasanya. Ini malah membuat saya bingung karena sulit menemukan riwayat cair yang masuk. Kembalikan saja mekanisme cairnya seperti dulu.,2,4,3.63.2,2023-08-10 13:52:37,"Hai kak. Kupon SBN memang utamanya dikirimkan Kemenkeu ke RDN Wallet. Namun pada sistem sebelumnya, kupon SBN otomatis langsung dicairkan dari saldo RDN Wallet ke rekening pencairan. Untuk history kupon yang diterima bisa dicek lewat menu Transaksi > History > pilih Obligasi Negara. More info hubungi live chat Bibit atau WA +622150864230. Trims",2023-08-11 02:09:22,3.63.2
